,text,re,fav
134,"['earn', 'worldsery', 'httpstcocvxgomxf']",290,1014
135,"['howtobepopularinwordswin', 'worldsery', 'httpstcoywtsafzn']",179,868
136,"['youv', 'seen', 'on', 'parad', 'flo', 'youv', 'seen', 'httpstcobseieqnh']",361,1498
137,"['ready', 'set', 'champ', 'httpstcoipspeh']",34,252
138,"['mom', 'httpstcogzwszltwh']",106,520
139,"['said', 'ye', 'httpstcoggqzaswu']",1001,4941
140,"['vict', 'champ', 'httpstcoemvossgan']",123,549
141,"['ring', 'ring', 'httpstcoeicyaduaw']",2823,9291
142,"['think', 'justinverland', 'trad', 'work', 'astro', 'champ', 'httpstcojdsvxeh']",357,1287
143,"['feel', 'carlosbelt', 'got', 'ring', 'champ', 'httpstcogfukwyo']",3095,9642
144,"['champ', 'httpstcotugulxfic']",256,713
145,"['worldsery', 'hug', 'champ', 'httpstcovnjztjupz']",338,794
146,"['go', 'crazy', 'htown', 'champ', 'httpstcospkyno']",210,681
147,"['astro', 'six', 'out', 'away', 'worldsery', 'titl', 'httpstcooyxf']",494,1719
148,"['im', 'sur', 'hand', 'gam', 'httpstcoslsyyhzms']",27,184
149,"['astro', 'couldnt', 'ask', 'bet', 'start', 'gam', 'worldsery', 'httpstcomocpkzcnf']",247,981
150,"['yasielpuig', 'know', 'pract', 'lik', 'play', 'worldsery', 'httpstcoljsqbfxoh']",277,1145
151,"['want', 'worldsery', 'httpstcofgxioglj']",503,1535
152,"['yungjoc', 'worldsery', 'httpstcosmciiojcp']",102,285
153,"['puigyourcoach', 'httpstcowaeljjda']",409,1554
154,"['vin', 'approv', 'worldsery', 'httpstcoimtnlnruyy']",188,756
155,"['springerdinger', 'httpstcoryqohaxatd']",100,334
156,"['kaj', 'get', 'crowd', 'going', 'worldsery', 'httpstcogvikeyg']",794,3808
157,"['someon', 'giv', 'candy', 'corn', 'httpstcogixxtrx']",593,1367
158,"['thank', 'baseballworldsery', 'httpstcogwaxzbk']",1682,4283
