,text,re,fav
215,"['pattafeufeu', 'that', 'mus', 'ear', 'cak', 'mouth', 'slip', 'feet']",0,2
216,"['strongstemshe', 'giyireland', 'mayb', 'dont', 'munch', 'soil', 'though']",0,0
217,"['arnoldlayn', 'nic', 'work', 'lind', 'yo', 'onto', 'winnerth', 'sort', 'workssort', 'doesnt']",0,1
218,"['branchroot', 'uppinghamtc', 'popey', 'pleas']",0,0
219,"['passmorejoy', 'millbrookp', 'gre', 'work', 'gang', 'eg', 'cress', 'sandwich', 'round']",2,4
220,"['amhankin', 'hello', 'angel', 'keen', 'keep', 'lunchbox', 'siz', 'mom', 'wel', 'pass', 'suggest', 'httpstcoirjtuz']",0,0
221,"['vickpbonifacio', 'postbox', 'ful', 'digest']",0,0
222,"['bryonyashaw', 'giyireland', 'osc', 'worthy', 'cress', 'osc']",0,1
223,"['nunosanch', 'us', 'soc', 'med', 'pass', 'left', 'on', 'right', 'on', 'pul', 'tight', 'mak', 'loop', 'httpstcobupixzhk']",0,1
224,"['itfact', 'mayb', 'try', 'list', 'helenalangdon', 'sometim']",0,1
225,"['monsoorahm', 'chrisskelding', 'candid', 'nat', 'off', 'glimps', 'real', 'chris', 'skeld']",0,2
226,"['mrsmartinryf', 'edg', 'seat']",0,1
227,"['pattafeufeu', 'going', 'tak', 'clap', 'cours', 'giv', 'adv', 'applaus']",0,1
228,"['digiskunk', 'swel', 'prid']",0,0
229,"['clovercgreen', 'preautodisunreantiundispostunantidisestablishment']",1,1
230,"['seanbrownhrtech', 'word', 'ssay', 'microsoftofficeprogram']",0,0
231,"['lelliejayn', 'afraid', 'lesley', 'due', 'typ', 'oat', 'us']",0,0
232,"['tobyaik', 'ohh', 'want', 'go', 'ros', 'redviolet', 'blueyo', 'ey', 'shin', 'lik', 'starsbuy', 'smoothy']",1,3
233,"['gfblogger', 'anyth', 'sarah']",0,1
234,"['plotb', 'thing', 'wev', 'learnt', 'jil', 'jil', 'lik', 'drink', 'gen', 'jil', 'doesnt', 'lik', 'mix', 'drink', 'httpstcocyapwi']",0,3
235,"['pattafeufeu', 'good', 'think', 'dont', 'try', 'pronount']",0,4
236,"['nic', 'look', 'lik', 'wel', 'work', 'hard', 'market', 'strategy']",0,0
237,"['gfblogger', 'girl', 'twitterwho', 'want', 'poem', 'glitterso', 'look', 'us', 'nowwel', 'tak', 'big', 'bow', 'httpstcohykwxlu']",0,5
238,"['writ', 'poemsus', 'alot', 'lineson', 'choos', 'word', 'thatrhymeavoidantidisestablishmentarianismworldpoetryday']",68,393
239,"['stmolaga', 'giyireland', 'happe', 'thought', 'around']",0,1
240,"['monsoorahm', 'crisp', 'checkdip', 'check', 'charm', 'chap', 'check']",0,2
241,"['healthwatchcwl', 'volcentrekandc', 'thank', 'com', 'everyon', 'excit', 'get', 'involv']",2,2
242,"['nic', 'spot', 'thirsty', 'nicla', 'want', 'innoc', 'smoothy', 'that', 'market', 'work', 'right']",0,0
243,"['tomabraham', 'camer', 'angl', 'view', 'market', 'nic', 'don', 'tom']",0,0
244,"['sarahschrbr', 'nclsbyr', 'smoothy', 'drink', 'class', 'youd', 'get']",0,2
245,"['nic', 'kozakfvm', 'tick']",0,0
246,"['socialyseuk', 'alphafoody', 'fofdaught', 'wavemakeruk', 'kevinjlyst', 'wel', 'put', 'pr', 'proud']",0,1
